alpha,t2,w2,s2,b2,p2
0.001,0,0,0,0,0
0.002,0,0,0,0,0
0.003,0,0,0,0,0
0.004,0,0,0,0,0
0.005,0,0,0,0,0
0.006,0,0,0,0,0
0.007,0,0,0,0,0
0.008,0,0,0,0,0
0.009,0,0,0,0,0
0.01,0,0,0,0,0
0.02,0,0,5.98802395209581e-06,0,0
0.03,0,0,5.98802395209581e-06,0,0
0.04,0,0,1.19760479041916e-05,5.98802395209581e-06,0
0.05,5.98802395209581e-06,0,2.9940119760479e-05,5.98802395209581e-06,5.98802395209581e-06
0.06,5.98802395209581e-06,0,2.9940119760479e-05,5.98802395209581e-06,5.98802395209581e-06
0.07,5.98802395209581e-06,5.98802395209581e-06,3.59281437125749e-05,5.98802395209581e-06,5.98802395209581e-06
0.08,5.98802395209581e-06,5.98802395209581e-06,5.38922155688623e-05,5.98802395209581e-06,5.98802395209581e-06
0.09,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-05,5.98802395209581e-06,5.98802395209581e-06
0.1,5.98802395209581e-06,5.98802395209581e-06,5.98802395209581e-05,5.98802395209581e-06,5.98802395209581e-06
